Date,Open ,High ,Low ,Close 
10/18/2013,55359.99,56052.46,55003.77,55378.46
10/17/2013,55965.87,56167.76,55145.98,55358.13
10/16/2013,54983.18,56747.03,54901.83,55973.03
10/15/2013,54175.55,55190.11,54053.24,54980.64
10/14/2013,53149.62,54196.88,52833.13,54170.6
10/11/2013,52999.89,53301.17,52738.72,53149.62
10/10/2013,52550.42,53132.78,52511.74,52996.64
10/9/2013,52312.85,52835.62,51955.38,52547.71
10/8/2013,52413.38,52555.87,51870.33,52312.44
10/7/2013,52841.2,52912.03,52273.9,52417.1
10/4/2013,52488.87,52871.88,52113.32,52848.97
10/3/2013,53101.05,53429.11,52296.25,52489.86
10/2/2013,53176.01,53473.88,52870.8,53100.18
10/1/2013,52337.32,53179.46,52093.15,53179.46
9/30/2013,53736.75,53736.75,52290.93,52338.19
9/27/2013,53780.99,54131.01,53611.24,53738.92
9/26/2013,54262.84,54344.01,53428.74,53782.97
9/25/2013,54425.47,54611.87,53967.94,54261.11
9/24/2013,54600.34,54818.37,54163.92,54431.05
9/23/2013,54110.03,54682.51,54026.79,54602.38
9/20/2013,55095.27,55242.53,54018.51,54110.03
9/19/2013,55702.61,55900.01,54965.85,55095.69
9/18/2013,54272.5,55827.16,53981.55,55702.9
9/17/2013,53823.4,54271.25,53576.06,54271.25
9/16/2013,53799.17,54462.78,53559.49,53821.63
9/13/2013,53311.05,53858.68,52917.36,53797.51
9/12/2013,53570.46,53838.99,52945.21,53307.09
9/11/2013,53982.47,54303.81,53307.4,53570.46
9/10/2013,54252.26,54739.92,53769.25,53979.03
9/9/2013,53751.6,54531.11,53257.16,54251.85
9/6/2013,52353.88,54124.87,52353.88,53749.42
9/5/2013,51715.3,52498.24,51255.52,52351.86
9/4/2013,51621.39,51829.52,51107.58,51716.16
9/3/2013,51833.25,52289.16,51422.03,51625.5
9/2/2013,50012.33,51976.44,50012.33,51835.15
8/30/2013,49932.22,50480.08,49648.91,50011.75
8/29/2013,49866.92,50557.9,49845,49921.88
8/28/2013,50091.55,50591.03,49530.29,49866.92
8/27/2013,51425,51425,50017.93,50091.55
8/26/2013,52199.97,52398.44,51429.48,51429.48
8/23/2013,51400.79,52197.06,51166.27,52197.06
8/22/2013,50408.11,51458.19,50408.11,51397.66
8/21/2013,50500.85,51170.94,50055.36,50405.2
8/20/2013,51561.17,51561.17,50498.82,50507.02
8/19/2013,51540,52089.26,51115.35,51574.09
8/16/2013,50906.33,51554.77,50800.13,51538.78
8/15/2013,50880.05,51452.85,50049.53,50908.34
8/14/2013,50593.66,51364.06,50414.08,50895.92
8/13/2013,50298.84,50733.89,50040.34,50600.55
8/12/2013,49878.26,51380.23,49878.26,50299.49
8/9/2013,48948.82,50000.5,48835.74,49874.9
8/8/2013,47452.88,49230.41,47452.88,48928.82
8/7/2013,47421.73,47665.37,47164.25,47446.71
8/6/2013,48436.44,48522.48,47224.79,47421.85
8/5/2013,48477.42,48707.32,48263.85,48436.44
8/2/2013,49140.78,49549.87,48448.3,48474.04
8/1/2013,48235,49281.33,48235,49140.78
7/31/2013,48558.25,48823.7,48139.64,48234.49
7/30/2013,49220.23,49669.15,48560.28,48561.78
7/29/2013,49414.43,49461.16,48975.24,49212.33
7/26/2013,49068.08,49422.1,48632.72,49422.05
7/25/2013,48371.68,49122.81,48006.85,49066.75
7/24/2013,48815.55,48887.73,47998.92,48374.23
7/23/2013,48579.49,49379.07,48579.49,48819.52
7/22/2013,47407.17,48879.39,47407.17,48574.09
7/19/2013,47650.26,47650.26,47163,47400.23
7/18/2013,47404.42,48056.89,47092.82,47656.92
7/17/2013,46869.29,47710.1,46869.29,47407.31
7/16/2013,46748.92,47329.7,46416.78,46869.29
7/15/2013,45533.24,46839.9,45533.24,46738.9
7/12/2013,46624.21,46624.21,45528.67,45533.24
7/11/2013,45493.56,46719.05,45493.56,46626.26
7/10/2013,45081.76,45955.32,45081.76,45483.43
7/8/2013,45211.42,45740.37,44838.92,45075.5
7/5/2013,45756.93,45756.93,44107.06,45210.49
7/4/2013,45046.24,46097.03,45046.24,45763.16
7/3/2013,45227.18,45826.8,44552,45044.03
7/2/2013,47221.61,47221.61,44818.64,45228.95
7/1/2013,47457.9,47674.01,46675.95,47229.59
6/28/2013,47609.02,47638.6,47058.94,47457.13
6/27/2013,47134.88,48053.15,47134.88,47609.46
6/26/2013,46903.29,47725.03,46903.29,47171.98
6/25/2013,45966.75,47119.15,45966.75,46893.04
6/24/2013,47038.97,47038.97,45405.94,45965.05
6/21/2013,48209.44,48209.44,46917.82,47056.04
6/20/2013,47884.37,48214.43,45929.82,48214.43
6/19/2013,49456.96,49698.2,47838.39,47893.06
6/18/2013,49088.98,49550.32,48414.03,49464.94
6/17/2013,49336.66,50123.3,49074.42,49088.65
6/14/2013,50415.23,50655.93,49329.71,49332.34
6/13/2013,49178.71,50444.11,48968.03,50414.89
6/12/2013,49777.4,50380.13,48746.14,49180.58
6/11/2013,51314.33,51314.33,49708.5,49769.93
6/10/2013,51618.63,51835.51,51159.85,51316.65
6/7/2013,52876.77,52876.77,51427.73,51618.63
6/6/2013,52813.29,52937.07,52244.1,52884.83
6/5/2013,54019.42,54206.54,52773.96,52798.63
6/4/2013,53944.36,54289.07,53497.96,54017.9
6/3/2013,53512.25,53993.32,53143.42,53944.36
5/31/2013,54632.53,54775.79,52942.22,53506.08
5/29/2013,56032.13,56032.13,54634.69,54634.69
5/28/2013,56399.27,56978.67,56008.52,56036.26
5/27/2013,56414.73,56562.35,56352.61,56395.94
5/24/2013,56349.91,56506.04,55901.06,56406.21
5/23/2013,56423.39,56423.39,55379.26,56349.91
5/22/2013,56268.62,57098.62,56036.99,56429.27
5/21/2013,55698.55,56265.32,55378.89,56265.32
5/20/2013,55161.95,55704.57,54630.26,55700.77
5/17/2013,54779.57,55489.38,54779.57,55164.27
5/16/2013,54943.26,55538.62,54592.32,54772.62
5/15/2013,54667.9,55215.64,54487.57,54936.41
5/14/2013,54442.45,55029.81,54326.92,54666.82
5/13/2013,55105.81,55105.81,54388.81,54447.77
5/10/2013,55445.64,55445.64,54831.69,55107.8
5/9/2013,55804.8,56071.93,54905.26,55447.56
5/8/2013,56280.83,56813.65,55804.8,55804.8
5/7/2013,55428.83,56450.43,55206.72,56274.66
5/6/2013,55487.9,55541.73,54651.57,55429.88
5/3/2013,55329.51,56366.29,55329.51,55488.08
5/2/2013,55918.73,55918.73,55103.93,55321.93
4/30/2013,54888.27,55910.37,54584.95,55910.37
4/29/2013,54253.72,55335.83,54253.72,54887.25
4/26/2013,54963.32,55033.92,54146.57,54252.04
4/25/2013,54989.18,55543.92,54792,54963.32
4/24/2013,54875.06,55546.48,54722.56,54984.23
4/23/2013,54301.03,55282,54164.91,54884.75
4/22/2013,53926.5,54297.97,53419.9,54297.73
4/19/2013,53168.92,54017.87,53168.92,53928.92
4/18/2013,52886.6,53473.82,52391.52,53165.91
4/17/2013,53984.01,53984.01,52540.44,52881.96
4/16/2013,52952.86,54095.06,52952.86,53990.83
4/15/2013,54951.9,54951.9,52949.93,52949.93
4/12/2013,55398.42,55530.62,54458.1,54962.65
4/11/2013,56189.83,56283.65,55173.52,55400.91
4/10/2013,55913.41,56975.82,55913.41,56186.56
4/9/2013,55100.83,56304.6,55100.83,55912.04
