"Date","winner.closing.price","loser.closing.price"
2002-06-10,811.9,
2002-06-11,815.33,
2002-06-12,823.06,
2002-06-14,822.01,
2002-06-17,809.16,
2002-06-18,809.4,
2002-06-19,776.37,
2002-06-20,776.81,
2002-06-21,778.53,
2002-06-24,767.92,
2002-06-25,755.92,
2002-06-26,701.87,
2002-06-27,710.43,
2002-06-28,742.72,
