"Date","winner.closing.price","loser.closing.price"
1998-06-24,524.18,555.5
1998-06-25,533.55,543.09
1998-06-26,536.5,540.56
1998-06-29,543.57,547.79
1998-06-30,544.67,550.44
1998-07-01,554.31,572.39
1998-07-02,557.71,579.04
1998-07-03,564.16,585.43
1998-07-06,563.47,592.19
1998-07-07,565.29,614.58
1998-07-08,571.68,616.71
1998-07-09,570.66,
1998-07-10,566.53,612.8
1998-07-13,575.41,623.64
1998-07-14,584.7,623.04
