"Date","winner.closing.price","loser.closing.price"
2010-06-17,6223.54,5253.89
2010-06-18,6216.98,5250.84
2010-06-21,6292.97,5299.11
2010-06-22,6269.04,5246.98
2010-06-23,6204.52,5178.52
2010-06-24,6115.48,5100.23
2010-06-25,6070.6,5046.47
2010-06-28,6157.22,5071.68
2010-06-29,5952.03,4914.22
2010-06-30,5965.52,4916.87
2010-07-01,5857.43,4805.75
2010-07-02,5834.15,4838.09
2010-07-05,5816.2,4823.53
2010-07-06,5940.98,4965
2010-07-07,5992.86,5014.82
