"Date","winner.closing.price","loser.closing.price"
1998-07-01,,554.31
1998-07-02,,557.71
1998-07-03,,564.16
1998-07-06,,563.47
1998-07-07,,565.29
1998-07-08,,571.68
1998-07-09,,570.66
1998-07-10,,566.53
1998-07-13,,575.41
1998-07-14,,584.7
1998-07-15,,586.5
1998-07-16,,581.85
1998-07-17,,589.01
1998-07-20,,597.01
1998-07-21,,594.69
