"Date","winner.closing.price","loser.closing.price"
2006-06-14,5305.99,899.72
2006-06-15,5422.22,924.8
2006-06-16,5376.01,909.79
2006-06-19,5439.23,920.86
2006-06-20,5493.61,919.12
2006-06-21,5503.41,925.23
2006-06-22,5533.42,928.72
2006-06-23,5529.74,
2006-06-26,5514.63,928.56
2006-06-27,5459.15,915.98
2006-06-28,5456.87,917.17
2006-06-29,5581.67,942.52
2006-06-30,5683.31,956.49
2006-07-03,5712.69,961.24
2006-07-04,5729.01,965.42
