"Date","Open.","High.","Low.","Close."
2002-06-10,12305.65,12599.51,12304.42,12599.51
2002-06-11,12608.55,12685.67,12170,12210.49
2002-06-12,12220.59,12400.15,12057.86,12132.98
2002-06-13,12180.07,12312.85,11962.19,11962.19
2002-06-14,11984.64,11984.64,11601.48,11698.95
2002-06-17,11704.9,11954.96,11704.9,11937.17
2002-06-18,11942.12,12116.21,11808.97,11821.18
2002-06-19,11822.21,11900.76,11485.16,11493.18
2002-06-20,11507.98,11603.09,10893.62,10908.68
2002-06-21,10917.19,11010.05,10298.31,10397.55
2002-06-24,10437.96,10813.92,10246.96,10759.08
2002-06-25,10773.13,10973.49,10596.67,10705.58
2002-06-26,10676.36,10693.51,10430.05,10690.53
2002-06-27,10689.6,11013.32,10689.6,11013.32
2002-06-28,11017.57,11271.05,11017.57,11139.16
2002-07-01,11137.78,11172.81,10853.44,10892.46
2002-07-02,10890.84,10908.02,10710.78,10845.63
2002-07-03,10854.46,10868.37,10520.42,10635.52
2002-07-04,10661.49,10721.44,10593.97,10655.47
2002-07-05,10662.68,10667.55,10424.84,10523.65
2002-07-08,10524.14,10708.09,10505.65,10687.09
2002-07-10,10689.68,10850.89,10539.1,10555.99
2006-06-19,34407.05,34669.16,33549.49,33897.35
2006-06-20,33897.41,34156.24,33567.82,33632.14
2006-06-21,33631.72,34601.28,33215.59,34546.64
2006-06-22,34543.55,34714.12,34225.82,34316.77
2006-06-23,34313.55,34864.49,33879.84,34661.22
2006-06-26,34662.85,34875.3,34584.22,34631.24
2006-06-27,34631.24,35015.42,34367.75,34375.73
2006-06-28,34374.1,34836.95,34349.22,34834.65
2006-06-29,34834.65,36486.67,34834.65,36486.67
2006-06-30,36486.67,37035.55,36359.26,36630.66
2006-07-03,36628.58,37402.36,36533.87,37357.2
2006-07-04,37357.72,37600.63,37187.72,37367.34
2006-07-05,37365.98,37365.98,36304.19,36378.03
2006-07-06,36380.22,36992.7,36380.22,36533.13
2006-07-07,36541.26,36795.91,35849.93,36101.98
2006-07-10,36107.34,36426.82,35863.16,36140.64
2006-07-11,36137.01,36580.7,35589.94,36553.56
2010-06-18,64542.01,64940.57,64239.13,64437.58
2010-06-21,64441.79,65516.85,64441.79,64829.03
